INSEE,POSTAL,CITY,PRICE,TFB,,
91161,91380,CHILLY MAZARIN,19.3,28.69,,
93030,93440,Dugny,19.3,47.37,,
93064,93110,ROSNY SOUS BOIS,19.3,36.99,,
91421,91230,MONTGERON,19.3,40.76,,
95428,95160,MONTMORENCY,19.3,38.98,,
93063,93230,ROMAINVILLE,20.47,44.1,,
78165,78340,CLAYES SOUS BOIS,19.3,35.11,,
91272,91190,GIF SUR YVETTE,19.3,35.35,,
77291,77990,Le Mesnil-Amelot,14.73,27.44,,
77373,77340,PONTAULT COMBAULT,19.3,49.31,,
94080,94300,VINCENNES,28.33,34.18,,
78501,78440,PORCHEVILLE,14.73,18.14,,
94044,94450,LIMEIL BREVANNES,19.3,36.64,,
77378,77310,PRINGY,14.73,47.23,,
95060,95550,BESSANCOURT,19.3,39.64,,
94076,94800,VILLEJUIF,20.47,41.59,,
94022,94600,CHOISY LE ROI,20.47,39.84,,
91687,91170,VIRY CHATILLON,19.3,41.19,,
77146,77183,Croissy-Beaubourg,19.3,48.5,,
93050,93330,NEUILLY SUR MARNE,20.47,36.7,,
94069,94410,ST MAURICE,24.1,31.2,,
77124,77600,Conches-sur-Gondoire,14.73,53,,
78031,78930,Auffreville-Brasseuil,14.73,26.66,,
91191,91560,CROSNE,19.3,38.1,,
78624,78510,TRIEL SUR SEINE,14.73,32.55,,
93005,93600,AULNAY SOUS BOIS,19.3,30.69,,
95323,95280,JOUY LE MOUTIER,14.73,43.06,,
78358,78600,MAISONS LAFFITTE,24.1,28.11,,
94033,94120,FONTENAY SOUS BOIS,20.47,38.08,,
94002,94140,ALFORTVILLE,20.47,37.57,,
77326,77176,Nandy,14.73,54.75,,
93055,93500,PANTIN,20.47,44.17,,
92007,92220,BAGNEUX,20.47,33.47,,
78646,78000,VERSAILLES,24.1,26.1,,
92073,92150,SURESNES,24.1,26.1,,
94074,94460,Valenton,19.3,36.35,,
92047,92430,MARNES LA COQUETTE,24.1,13.86,,
93073,93290,TREMBLAY EN FRANCE,14.73,39.65,,
78007,78240,AIGREMONT,14.73,27.62,,
91097,91800,BOUSSY SAINT ANTOINE,19.3,35.9,,
95476,95520,OSNY,19.3,42.18,,
91363,91460,MARCOUSSIS,19.3,44.79,,
77111,77700,Chessy,14.73,51.6,,
94059,94420,PLESSIS TREVISE,19.3,33.97,,
77059,77600,Bussy-Saint-Martin,19.3,30.57,,
91577,91250,SAINTRY SUR SEINE,14.73,38,,
95091,95570,Bouffémont,14.73,44,,
95637,95490,Vauréal,19.3,43.03,,
92060,92350,PLESSIS ROBINSON,20.47,37.06,,
78138,78570,CHANTELOUP LES VIGNES,19.3,37.68,,
94028,94000,CRETEIL,20.47,42.12,,
95510,95650,Puiseux-Pontoise,19.3,27.18,,
93010,93140,BONDY,20.47,39.79,,
92064,92210,ST CLOUD,24.1,20.34,,
94011,94380,BONNEUIL SUR MARNE,20.47,44.01,,
95014,95580,ANDILLY,14.73,33.46,,
93079,93430,Villetaneuse,20.47,42.73,,
78361,78200,MANTES LA JOLIE,19.3,31.98,,
92002,92160,ANTONY,20.47,27.09,,
91587,91160,SAULX LES CHARTREUX,19.3,44,,
94048,94440,Marolles-en-Brie,14.73,35.57,,
95051,95250,BEAUCHAMP,19.3,34.62,,
77479,77360,VAIRES SUR MARNE,19.3,46.01,,
95394,95540,MERY SUR OISE,19.3,49.23,,
77251,77127,LIEUSAINT,14.73,48.72,,
78343,78350,LOGES EN JOSAS,19.3,28.31,,
77038,77350,BOISSETTES,14.73,29.17,,
77122,77380,COMBS LA VILLE,19.3,42.63,,
77139,77181,Courtry,14.73,46.98,,
92040,92130,ISSY LES MOULINEAUX,24.1,23.99,,
78401,78250,MEULAN,19.3,35.61,,
95427,95360,MONTMAGNY,19.3,47.14,,
93045,93260,LILAS,24.1,45.17,,
77307,77144,MONTEVRAIN,14.73,52.08,,
94021,94550,CHEVILLY LARUE,20.47,29,,
77389,77000,ROCHETTE,19.3,40.85,,
77394,77950,Rubelles,14.73,37.4,,
77468,77200,TORCY,20.47,45.08,,
94053,94880,NOISEAU,19.3,35.86,,
78015,78570,ANDRESY,19.3,35.78,,
78050,78490,BAZOCHES SUR GUYONNE,14.73,21.58,,
78073,78390,BOIS D ARCY,19.3,26.32,,
78118,78200,Buchelay,14.73,27.39,,
78123,78955,CARRIERES SOUS POISSY,20.47,41.16,,
